lat,lng,count,time
36.6841,116.98695,81.0,2013-09-12 13:30
36.68864,117.13025,11.0,2013-09-12 13:30
36.64536,117.06334,8.0,2013-09-12 13:30
36.67039,116.88475,21.0,2013-09-12 13:30
36.66666,116.88441,18.0,2013-09-12 13:30
36.64904,117.02569,5.0,2013-09-12 13:30
36.66719,116.98525,9.0,2013-09-12 13:30
36.65712,117.00036,5.0,2013-09-12 13:30
36.68824,117.0344,7.0,2013-09-12 13:30
36.68322,117.05623,9.0,2013-09-12 13:30
36.66692,116.88715,39.0,2013-09-12 13:30
36.66154,116.99601,37.0,2013-09-12 13:30
36.6461,117.00769,5.0,2013-09-12 13:30
36.66895,117.12975,9.0,2013-09-12 13:30
36.69876,116.9882,10.0,2013-09-12 13:30
36.68412,117.06123,9.0,2013-09-12 13:30
36.68981,116.97136,6.0,2013-09-12 13:30
36.6601,116.9916,9.0,2013-09-12 13:30
36.71527,117.04712,5.0,2013-09-12 13:30
36.67102,116.88768,9.0,2013-09-12 13:30
36.66475,117.01856,5.0,2013-09-12 13:30
36.66248,117.01751,6.0,2013-09-12 13:30
36.67496,117.03277,13.0,2013-09-12 13:30
36.66368,117.01011,5.0,2013-09-12 13:30
36.6195,116.95229,6.0,2013-09-12 13:30
36.66466,117.01691,7.0,2013-09-12 13:30
36.62036,117.01228,5.0,2013-09-12 13:30
36.65985,117.02288,15.0,2013-09-12 13:30
36.66754,116.98769,5.0,2013-09-12 13:30
36.67556,116.97471,6.0,2013-09-12 13:30
36.68715,116.98842,6.0,2013-09-12 13:30
36.61396,117.00027,7.0,2013-09-12 13:30
36.65491,117.01035,6.0,2013-09-12 13:30
36.68217,117.05124,6.0,2013-09-12 13:30
36.67882,117.05071,5.0,2013-09-12 13:30
36.68521,116.98485,9.0,2013-09-12 13:30
36.69033,116.95159,7.0,2013-09-12 13:30
36.70461,116.98811,5.0,2013-09-12 13:30
36.67335,117.03053,5.0,2013-09-12 13:30
36.64875,116.95638,7.0,2013-09-12 13:30
36.65449,117.06777,7.0,2013-09-12 13:30
36.68478,117.0652,5.0,2013-09-12 13:30
36.68604,117.02764,5.0,2013-09-12 13:30
36.6647,117.0104,6.0,2013-09-12 13:30
36.68349,117.05819,5.0,2013-09-12 13:30
36.66591,117.05052,5.0,2013-09-12 13:30
36.68308,117.07966,5.0,2013-09-12 13:30
36.7063,116.99182,7.0,2013-09-12 13:30
36.66156,116.99036,5.0,2013-09-12 13:30
36.68745,117.11732,5.0,2013-09-12 13:30
36.66003,117.02216,5.0,2013-09-12 13:45
36.68719,116.98839,7.0,2013-09-12 13:45
36.67728,116.9799,5.0,2013-09-12 13:45
36.66962,117.03826,9.0,2013-09-12 13:45
36.6862,117.04388,8.0,2013-09-12 13:45
36.659,117.01331,5.0,2013-09-12 13:45
36.6846,116.98674,91.0,2013-09-12 13:45
36.67374,117.06769,7.0,2013-09-12 13:45
36.67097,117.06694,7.0,2013-09-12 13:45
36.66145,116.99612,10.0,2013-09-12 13:45
36.66936,116.98525,33.0,2013-09-12 13:45
36.68274,116.98828,27.0,2013-09-12 13:45
36.68314,117.05603,6.0,2013-09-12 13:45
36.67099,116.88794,14.0,2013-09-12 13:45
36.68363,117.05852,11.0,2013-09-12 13:45
36.70536,116.9881,9.0,2013-09-12 13:45
36.66156,116.99296,6.0,2013-09-12 13:45
36.65528,117.01335,25.0,2013-09-12 13:45
36.66822,116.9901,9.0,2013-09-12 13:45
36.6606,116.96965,9.0,2013-09-12 13:45
36.64825,117.01587,6.0,2013-09-12 13:45
36.66621,117.04889,8.0,2013-09-12 13:45
36.67884,117.05205,9.0,2013-09-12 13:45
36.66731,116.98559,12.0,2013-09-12 13:45
36.70372,117.05849,6.0,2013-09-12 13:45
36.66512,117.0209,8.0,2013-09-12 13:45
36.6677,116.98804,7.0,2013-09-12 13:45
36.6618,117.12051,5.0,2013-09-12 13:45
36.64891,116.95641,5.0,2013-09-12 13:45
36.66529,117.07307,5.0,2013-09-12 13:45
36.67472,117.03242,6.0,2013-09-12 13:45
36.66677,116.88435,13.0,2013-09-12 13:45
36.61391,117.00027,6.0,2013-09-12 13:45
36.65997,117.00123,7.0,2013-09-12 13:45
36.66153,116.99441,5.0,2013-09-12 13:45
36.68812,117.03432,8.0,2013-09-12 13:45
36.66698,116.8871,33.0,2013-09-12 13:45
36.65417,117.07742,6.0,2013-09-12 13:45
36.69888,116.98806,9.0,2013-09-12 13:45
36.67036,116.88473,27.0,2013-09-12 13:45
36.70079,116.98812,5.0,2013-09-12 13:45
36.64814,117.03599,5.0,2013-09-12 13:45
36.68627,117.0287,5.0,2013-09-12 13:45
36.67632,117.03543,5.0,2013-09-12 13:45
36.6758,117.03437,7.0,2013-09-12 13:45
36.65635,117.03887,7.0,2013-09-12 13:45
36.71023,116.9692,5.0,2013-09-12 13:45
36.65416,117.06286,5.0,2013-09-12 13:45
36.66051,117.03914,7.0,2013-09-12 13:45
36.66193,116.99812,5.0,2013-09-12 13:45
36.66278,116.99096,5.0,2013-09-12 13:45
36.65997,117.02365,9.0,2013-09-12 13:45
36.68861,117.13007,7.0,2013-09-12 13:45
36.66298,117.13431,5.0,2013-09-12 13:45
36.6617,116.99722,5.0,2013-09-12 13:45
36.6952,116.98811,5.0,2013-09-12 13:45
36.65721,117.00002,7.0,2013-09-12 13:45
36.66282,117.01125,5.0,2013-09-12 13:45
36.64616,117.00785,5.0,2013-09-12 13:45
36.64857,116.97136,5.0,2013-09-12 13:45
36.64881,116.9582,6.0,2013-09-12 13:45
36.66138,116.99545,25.0,2013-09-12 14:00
36.68409,116.98682,110.0,2013-09-12 14:00
36.70424,117.06161,5.0,2013-09-12 14:00
36.66544,117.07174,7.0,2013-09-12 14:00
36.65512,117.01316,18.0,2013-09-12 14:00
36.68098,117.08689,5.0,2013-09-12 14:00
36.66941,116.98527,57.0,2013-09-12 14:00
36.66614,117.04124,9.0,2013-09-12 14:00
36.66452,117.01669,14.0,2013-09-12 14:00
36.67273,117.02664,8.0,2013-09-12 14:00
36.68143,117.04783,7.0,2013-09-12 14:00
36.6619,116.9993,10.0,2013-09-12 14:00
36.67036,116.88473,15.0,2013-09-12 14:00
36.66668,116.88445,7.0,2013-09-12 14:00
36.66093,116.97148,10.0,2013-09-12 14:00
36.66634,116.98656,6.0,2013-09-12 14:00
36.65992,117.0247,8.0,2013-09-12 14:00
36.64621,117.00797,7.0,2013-09-12 14:00
36.64957,116.97393,5.0,2013-09-12 14:00
36.64405,116.99138,7.0,2013-09-12 14:00
36.66898,117.0673,9.0,2013-09-12 14:00
36.6669,116.887,13.0,2013-09-12 14:00
36.67431,117.06774,6.0,2013-09-12 14:00
36.65979,117.02306,6.0,2013-09-12 14:00
36.68434,117.06272,7.0,2013-09-12 14:00
36.68822,117.03456,8.0,2013-09-12 14:00
36.66899,117.12991,6.0,2013-09-12 14:00
36.66753,116.98547,7.0,2013-09-12 14:00
36.68351,117.05753,21.0,2013-09-12 14:00
36.6828,117.00927,5.0,2013-09-12 14:00
36.68624,117.04387,12.0,2013-09-12 14:00
36.67891,117.05167,6.0,2013-09-12 14:00
36.71523,117.04726,5.0,2013-09-12 14:00
36.6855,116.98817,6.0,2013-09-12 14:00
36.6483,117.04387,5.0,2013-09-12 14:00
36.6627,117.01826,5.0,2013-09-12 14:00
36.6617,116.99699,6.0,2013-09-12 14:00
36.65434,117.0673,8.0,2013-09-12 14:00
36.68344,117.00009,6.0,2013-09-12 14:00
36.66204,116.96717,5.0,2013-09-12 14:00
36.66587,117.05592,5.0,2013-09-12 14:00
36.70084,116.98814,5.0,2013-09-12 14:00
36.68653,117.13106,6.0,2013-09-12 14:00
36.7062,117.06565,5.0,2013-09-12 14:00
36.65747,116.97952,10.0,2013-09-12 14:00
36.63665,116.97721,9.0,2013-09-12 14:00
36.65686,117.03214,5.0,2013-09-12 14:00
36.63367,117.06284,6.0,2013-09-12 14:00
36.65454,117.03598,5.0,2013-09-12 14:00
36.66579,117.07025,6.0,2013-09-12 14:00
36.65462,117.00883,5.0,2013-09-12 14:00
36.66975,117.03849,6.0,2013-09-12 14:00
36.68802,117.13029,6.0,2013-09-12 14:00
36.67009,117.12584,5.0,2013-09-12 14:00
36.64825,116.98169,5.0,2013-09-12 14:00
36.66056,116.98431,5.0,2013-09-12 14:00
36.66537,117.02423,5.0,2013-09-12 14:00
36.64714,117.07845,5.0,2013-09-12 14:15
36.68285,117.05509,6.0,2013-09-12 14:15
36.65667,116.97942,13.0,2013-09-12 14:15
36.66943,116.98531,74.0,2013-09-12 14:15
36.65446,117.06816,6.0,2013-09-12 14:15
36.66257,117.01896,8.0,2013-09-12 14:15
36.68324,116.98821,36.0,2013-09-12 14:15
36.6669,116.88714,30.0,2013-09-12 14:15
36.66756,116.98562,8.0,2013-09-12 14:15
36.661,116.97143,7.0,2013-09-12 14:15
36.66211,117.13506,10.0,2013-09-12 14:15
36.66278,117.11473,9.0,2013-09-12 14:15
36.68385,116.99414,6.0,2013-09-12 14:15
36.68732,116.98836,7.0,2013-09-12 14:15
36.66078,117.01215,5.0,2013-09-12 14:15
36.66675,116.88456,26.0,2013-09-12 14:15
36.6598,117.02297,11.0,2013-09-12 14:15
36.70552,116.98815,16.0,2013-09-12 14:15
36.6838,117.05875,17.0,2013-09-12 14:15
36.61396,117.00013,16.0,2013-09-12 14:15
36.67888,117.05197,10.0,2013-09-12 14:15
36.65514,117.01348,31.0,2013-09-12 14:15
36.61327,116.95097,5.0,2013-09-12 14:15
36.66151,116.99567,15.0,2013-09-12 14:15
36.68613,117.04382,8.0,2013-09-12 14:15
36.65889,116.99204,6.0,2013-09-12 14:15
36.64859,116.95736,9.0,2013-09-12 14:15
36.62007,116.99645,5.0,2013-09-12 14:15
36.67041,116.88477,17.0,2013-09-12 14:15
36.68447,116.98624,35.0,2013-09-12 14:15
36.65025,117.06351,5.0,2013-09-12 14:15
36.65348,117.02547,5.0,2013-09-12 14:15
36.66957,117.03839,5.0,2013-09-12 14:15
36.6617,116.99777,6.0,2013-09-12 14:15
36.63983,117.04559,6.0,2013-09-12 14:15
36.68567,116.9847,5.0,2013-09-12 14:15
36.6748,117.04048,5.0,2013-09-12 14:15
36.67884,117.05054,6.0,2013-09-12 14:15
36.65459,117.03027,6.0,2013-09-12 14:15
36.66365,117.0097,7.0,2013-09-12 14:15
36.67485,117.03284,8.0,2013-09-12 14:15
36.68413,116.98914,7.0,2013-09-12 14:15
36.68513,116.9883,5.0,2013-09-12 14:15
36.66008,116.99162,5.0,2013-09-12 14:15
36.66562,117.07133,9.0,2013-09-12 14:15
36.65923,117.0132,5.0,2013-09-12 14:15
36.67916,117.12224,5.0,2013-09-12 14:15
36.66623,117.04905,7.0,2013-09-12 14:15
36.66142,117.02121,5.0,2013-09-12 14:15
36.66932,117.06763,5.0,2013-09-12 14:15
36.68126,117.12079,5.0,2013-09-12 14:15
36.64837,117.01525,5.0,2013-09-12 14:15
36.65989,116.96602,5.0,2013-09-12 14:15
36.61571,116.99979,5.0,2013-09-12 14:15
36.66459,117.01044,5.0,2013-09-12 14:15
36.65065,117.07935,5.0,2013-09-12 14:15
36.67442,117.03169,6.0,2013-09-12 14:15
36.65252,117.07951,5.0,2013-09-12 14:15
36.68415,116.98708,87.0,2013-09-12 14:30
36.66053,117.03887,9.0,2013-09-12 14:30
36.68325,117.05679,5.0,2013-09-12 14:30
36.66695,116.88714,50.0,2013-09-12 14:30
36.66681,116.88446,22.0,2013-09-12 14:30
36.66608,117.04134,10.0,2013-09-12 14:30
36.65499,117.0126,17.0,2013-09-12 14:30
36.67036,116.88471,28.0,2013-09-12 14:30
36.6502,116.96753,5.0,2013-09-12 14:30
36.65671,116.97942,14.0,2013-09-12 14:30
36.68414,116.98916,9.0,2013-09-12 14:30
36.65985,117.02374,16.0,2013-09-12 14:30
36.68375,117.05929,10.0,2013-09-12 14:30
36.66074,116.96977,15.0,2013-09-12 14:30
36.68705,116.98819,6.0,2013-09-12 14:30
36.6694,116.9853,50.0,2013-09-12 14:30
36.65451,117.03951,6.0,2013-09-12 14:30
36.66276,117.11481,11.0,2013-09-12 14:30
36.66248,117.01751,7.0,2013-09-12 14:30
36.68349,117.00938,16.0,2013-09-12 14:30
36.6842,117.06133,9.0,2013-09-12 14:30
36.64862,116.95693,13.0,2013-09-12 14:30
36.61399,117.00023,6.0,2013-09-12 14:30
36.65942,116.99172,6.0,2013-09-12 14:30
36.68822,117.03598,6.0,2013-09-12 14:30
36.67102,116.88763,14.0,2013-09-12 14:30
36.63177,116.99223,5.0,2013-09-12 14:30
36.65691,116.98445,7.0,2013-09-12 14:30
36.64571,117.06359,5.0,2013-09-12 14:30
36.69151,117.1035,5.0,2013-09-12 14:30
36.6618,116.99808,10.0,2013-09-12 14:30
36.69018,116.95161,5.0,2013-09-12 14:30
36.6715,117.05396,7.0,2013-09-12 14:30
36.68871,117.03747,5.0,2013-09-12 14:30
36.65369,116.99638,6.0,2013-09-12 14:30
36.6645,117.0167,5.0,2013-09-12 14:30
36.66782,116.98551,11.0,2013-09-12 14:30
36.70625,117.06578,5.0,2013-09-12 14:30
36.70568,116.9881,8.0,2013-09-12 14:30
36.66595,117.05144,9.0,2013-09-12 14:30
36.66479,117.01036,5.0,2013-09-12 14:30
36.7036,117.05853,6.0,2013-09-12 14:30
36.66505,116.94675,5.0,2013-09-12 14:30
36.67161,117.01141,5.0,2013-09-12 14:30
36.65163,117.00774,5.0,2013-09-12 14:30
36.65923,117.00914,6.0,2013-09-12 14:30
36.64825,117.03681,7.0,2013-09-12 14:30
36.68413,116.98284,5.0,2013-09-12 14:30
36.66037,117.08076,6.0,2013-09-12 14:30
36.65802,116.97923,7.0,2013-09-12 14:30
36.61098,116.99908,5.0,2013-09-12 14:30
36.68583,117.02709,6.0,2013-09-12 14:30
36.68792,117.03426,6.0,2013-09-12 14:30
36.71523,117.04729,5.0,2013-09-12 14:30
36.69439,116.9883,5.0,2013-09-12 14:30
36.67862,117.03069,6.0,2013-09-12 14:30
36.66373,117.00834,5.0,2013-09-12 14:30
36.68288,117.05507,5.0,2013-09-12 14:30
36.66025,117.02073,5.0,2013-09-12 14:30
36.66698,116.98463,4.0,2013-09-12 14:30
36.65876,117.019,5.0,2013-09-12 14:30
36.67435,117.03181,5.0,2013-09-12 14:30
36.68318,117.05605,3.0,2013-09-12 14:30
36.67022,117.12572,5.0,2013-09-12 14:30
36.6622,117.13503,5.0,2013-09-12 14:30
36.67033,116.88481,13.0,2013-09-12 14:45
36.6568,116.98343,10.0,2013-09-12 14:45
36.68333,116.9882,41.0,2013-09-12 14:45
36.66694,116.88711,44.0,2013-09-12 14:45
36.65541,117.01737,11.0,2013-09-12 14:45
36.66945,116.98534,57.0,2013-09-12 14:45
36.68412,116.98553,33.0,2013-09-12 14:45
36.64508,117.06325,11.0,2013-09-12 14:45
36.65668,116.97953,17.0,2013-09-12 14:45
36.65385,116.99639,8.0,2013-09-12 14:45
36.66808,116.98534,6.0,2013-09-12 14:45
36.68368,117.05869,13.0,2013-09-12 14:45
36.69555,116.97736,8.0,2013-09-12 14:45
36.65757,117.01382,6.0,2013-09-12 14:45
36.68412,116.98904,6.0,2013-09-12 14:45
36.70633,116.99031,8.0,2013-09-12 14:45
36.68124,117.00932,5.0,2013-09-12 14:45
36.68409,117.07938,7.0,2013-09-12 14:45
36.6599,117.02322,14.0,2013-09-12 14:45
36.68232,117.04049,7.0,2013-09-12 14:45
36.68302,117.05579,18.0,2013-09-12 14:45
36.66253,117.0179,8.0,2013-09-12 14:45
36.66584,117.04809,6.0,2013-09-12 14:45
36.67883,117.0521,6.0,2013-09-12 14:45
36.68435,116.98389,6.0,2013-09-12 14:45
36.70584,116.98806,10.0,2013-09-12 14:45
36.6301,116.98492,11.0,2013-09-12 14:45
36.65047,116.97309,6.0,2013-09-12 14:45
36.66309,117.01099,6.0,2013-09-12 14:45
36.65517,117.01307,20.0,2013-09-12 14:45
36.66278,117.1148,8.0,2013-09-12 14:45
36.65454,117.03957,5.0,2013-09-12 14:45
36.68007,117.06839,5.0,2013-09-12 14:45
36.666,117.04155,12.0,2013-09-12 14:45
36.667,116.98505,7.0,2013-09-12 14:45
36.67845,117.02434,9.0,2013-09-12 14:45
36.61402,117.00023,9.0,2013-09-12 14:45
36.61863,116.9743,5.0,2013-09-12 14:45
36.65162,117.03894,5.0,2013-09-12 14:45
36.66143,116.996,5.0,2013-09-12 14:45
36.68373,117.0254,7.0,2013-09-12 14:45
36.66608,117.0492,7.0,2013-09-12 14:45
36.67151,117.05376,6.0,2013-09-12 14:45
36.66453,117.01743,10.0,2013-09-12 14:45
36.7009,116.98814,9.0,2013-09-12 14:45
36.6486,116.95692,5.0,2013-09-12 14:45
36.66661,116.88415,19.0,2013-09-12 14:45
36.68886,116.93318,6.0,2013-09-12 14:45
36.65823,117.01375,4.0,2013-09-12 14:45
36.64822,117.03618,9.0,2013-09-12 14:45
36.67099,116.88773,5.0,2013-09-12 14:45
36.68156,117.04787,5.0,2013-09-12 14:45
36.66167,116.99707,5.0,2013-09-12 14:45
36.65147,117.00535,5.0,2013-09-12 14:45
36.667,116.98637,5.0,2013-09-12 14:45
36.66058,116.96968,5.0,2013-09-12 14:45
36.68817,117.03442,9.0,2013-09-12 14:45
36.68802,117.11771,5.0,2013-09-12 14:45
36.68426,117.0622,6.0,2013-09-12 14:45
36.63793,116.84763,5.0,2013-09-12 14:45
36.67228,117.06779,5.0,2013-09-12 14:45
36.68207,117.05111,5.0,2013-09-12 14:45
36.65041,117.07904,5.0,2013-09-12 14:45
36.66166,117.00109,5.0,2013-09-12 14:45
36.64859,116.95687,8.0,2013-09-12 15:00
36.68363,117.05822,31.0,2013-09-12 15:00
36.68542,116.98483,9.0,2013-09-12 15:00
36.68316,116.9882,22.0,2013-09-12 15:00
36.65697,116.97559,7.0,2013-09-12 15:00
36.66693,116.88714,14.0,2013-09-12 15:00
36.65702,116.97953,23.0,2013-09-12 15:00
36.67086,116.99043,13.0,2013-09-12 15:00
36.66833,116.98965,6.0,2013-09-12 15:00
36.6803,117.0603,5.0,2013-09-12 15:00
36.66465,117.01804,7.0,2013-09-12 15:00
36.66685,116.98444,7.0,2013-09-12 15:00
36.68458,116.98681,65.0,2013-09-12 15:00
36.64009,117.01816,5.0,2013-09-12 15:00
36.64876,116.95795,6.0,2013-09-12 15:00
36.66753,116.98547,10.0,2013-09-12 15:00
36.66154,116.99561,7.0,2013-09-12 15:00
36.65446,117.06348,7.0,2013-09-12 15:00
36.67715,117.06047,7.0,2013-09-12 15:00
36.66956,116.98526,55.0,2013-09-12 15:00
36.7006,116.98815,6.0,2013-09-12 15:00
36.67369,117.06769,5.0,2013-09-12 15:00
36.6841,116.98917,7.0,2013-09-12 15:00
36.65533,117.08018,5.0,2013-09-12 15:00
36.66027,117.03134,5.0,2013-09-12 15:00
36.66471,116.98694,5.0,2013-09-12 15:00
36.68776,117.11751,5.0,2013-09-12 15:00
36.67035,116.88482,8.0,2013-09-12 15:00
36.64521,117.06335,7.0,2013-09-12 15:00
36.68824,117.03436,10.0,2013-09-12 15:00
36.66854,117.06754,7.0,2013-09-12 15:00
36.6801,117.0675,6.0,2013-09-12 15:00
36.66252,117.1347,12.0,2013-09-12 15:00
36.66592,117.04426,5.0,2013-09-12 15:00
36.66668,116.88445,9.0,2013-09-12 15:00
36.6463,117.00812,6.0,2013-09-12 15:00
36.66156,116.99313,9.0,2013-09-12 15:00
36.70626,116.99046,11.0,2013-09-12 15:00
36.70618,117.0657,5.0,2013-09-12 15:00
36.65985,117.02295,7.0,2013-09-12 15:00
36.68344,117.05605,6.0,2013-09-12 15:00
36.63995,116.99138,6.0,2013-09-12 15:00
36.66743,116.98685,6.0,2013-09-12 15:00
36.6747,117.03226,7.0,2013-09-12 15:00
36.68633,117.04385,5.0,2013-09-12 15:00
36.66249,117.01784,5.0,2013-09-12 15:00
36.67225,116.96312,5.0,2013-09-12 15:00
36.68637,117.02857,5.0,2013-09-12 15:00
36.65519,117.01353,6.0,2013-09-12 15:00
36.61842,116.97433,5.0,2013-09-12 15:00
36.6617,116.97836,5.0,2013-09-12 15:00
36.65503,117.01219,7.0,2013-09-12 15:00
36.64803,117.03703,8.0,2013-09-12 15:00
36.68444,117.00408,6.0,2013-09-12 15:00
36.67253,117.02487,6.0,2013-09-12 15:00
36.66933,117.12941,5.0,2013-09-12 15:00
36.69563,116.97943,5.0,2013-09-12 15:00
36.66614,117.04898,5.0,2013-09-12 15:00
36.64817,117.0371,5.0,2013-09-12 15:15
36.61863,116.9743,6.0,2013-09-12 15:15
36.68835,117.0344,6.0,2013-09-12 15:15
36.66988,116.98511,76.0,2013-09-12 15:15
36.6673,116.98638,12.0,2013-09-12 15:15
36.67088,116.99048,8.0,2013-09-12 15:15
36.66066,117.0212,8.0,2013-09-12 15:15
36.64867,116.95687,7.0,2013-09-12 15:15
36.6669,116.88714,22.0,2013-09-12 15:15
36.68417,117.06123,12.0,2013-09-12 15:15
36.67033,116.88477,12.0,2013-09-12 15:15
36.68419,116.98763,77.0,2013-09-12 15:15
36.66025,116.99157,7.0,2013-09-12 15:15
36.66875,117.06765,9.0,2013-09-12 15:15
36.66671,116.88452,16.0,2013-09-12 15:15
36.66212,116.97839,5.0,2013-09-12 15:15
36.68238,117.05399,5.0,2013-09-12 15:15
36.6551,117.0124,7.0,2013-09-12 15:15
36.67883,117.05227,8.0,2013-09-12 15:15
36.66151,116.9958,14.0,2013-09-12 15:15
36.7037,117.05816,5.0,2013-09-12 15:15
36.64859,116.95829,7.0,2013-09-12 15:15
36.65894,117.06684,9.0,2013-09-12 15:15
36.67535,117.03342,6.0,2013-09-12 15:15
36.6661,117.04911,8.0,2013-09-12 15:15
36.65536,117.01707,7.0,2013-09-12 15:15
36.6549,117.0112,9.0,2013-09-12 15:15
36.66455,117.01792,6.0,2013-09-12 15:15
36.66162,116.99799,5.0,2013-09-12 15:15
36.65989,117.02293,5.0,2013-09-12 15:15
36.68365,117.05842,9.0,2013-09-12 15:15
36.66737,116.96004,5.0,2013-09-12 15:15
36.68558,116.98472,11.0,2013-09-12 15:15
36.65671,116.97949,7.0,2013-09-12 15:15
36.66885,116.9936,6.0,2013-09-12 15:15
36.68847,117.13026,6.0,2013-09-12 15:15
36.6622,117.13496,10.0,2013-09-12 15:15
36.66584,117.05135,5.0,2013-09-12 15:15
36.66594,117.0415,10.0,2013-09-12 15:15
36.68414,116.98961,14.0,2013-09-12 15:15
36.66006,117.02438,11.0,2013-09-12 15:15
36.61414,117.00031,6.0,2013-09-12 15:15
